날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율
2024-01-23,한화오션,15,8,6,29,0.6521738846880919,0.34782607183364905
2024-01-24,HD한국조선해양,19,6,2,27,0.7599999696000012,0.23999999040000036
2024-01-24,HD현대마린솔루션,7,1,0,8,0.8749998906250137,0.12499998437500197
2024-01-24,HD현대미포,9,1,2,12,0.8999999100000091,0.09999999000000101
2024-01-24,HD현대중공업,38,9,4,51,0.8085106210955187,0.19148935762788602
2024-01-24,STX엔진,2,0,0,2,0.99999950000025,0.0
2024-01-24,삼성중공업,14,6,4,24,0.6999999650000017,0.29999998500000075
2024-01-24,세진중공업,1,0,0,1,0.9999990000010001,0.0
2024-01-24,한국카본,1,0,0,1,0.9999990000010001,0.0
2024-01-24,한화엔진,8,2,0,10,0.7999999200000081,0.19999998000000202
2024-01-24,한화오션,33,7,9,49,0.8249999793750006,0.17499999562500013
2024-01-25,HD한국조선해양,10,7,0,17,0.588235259515573,0.4117646816609011
2024-01-25,HD현대마린솔루션,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-25,HD현대미포,7,2,0,9,0.7777776913580343,0.22222219753086697
2024-01-25,HD현대중공업,19,7,1,27,0.7307692026627229,0.26923075887574005
2024-01-25,삼성중공업,7,6,3,16,0.5384614970414233,0.4615384260355057
2024-01-25,세진중공업,1,0,0,1,0.9999990000010001,0.0
2024-01-25,한국카본,2,1,0,3,0.6666664444445185,0.33333322222225925
2024-01-25,한화엔진,9,1,0,10,0.8999999100000091,0.09999999000000101
2024-01-25,한화오션,17,13,6,36,0.5666666477777784,0.4333333188888894
2024-01-26,HD한국조선해양,16,4,1,21,0.799999960000002,0.1999999900000005
2024-01-26,HD현대마린솔루션,1,3,2,6,0.24999993750001562,0.7499998125000469
2024-01-26,HD현대미포,5,1,2,8,0.8333331944444675,0.16666663888889352
2024-01-26,HD현대중공업,13,6,4,23,0.684210490304711,0.31578945706371275
2024-01-26,STX엔진,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-26,삼성중공업,15,4,3,22,0.7894736426592819,0.21052630470914185
2024-01-26,세진중공업,1,2,0,3,0.33333322222225925,0.6666664444445185
2024-01-26,한국카본,3,4,2,9,0.4285713673469475,0.57142848979593
2024-01-26,한화엔진,6,2,1,9,0.7499999062500118,0.24999996875000394
2024-01-26,한화오션,24,2,4,30,0.9230768875739658,0.07692307396449716
2024-01-27,HD한국조선해양,2,3,0,5,0.399999920000016,0.599999880000024
2024-01-27,HD현대마린솔루션,1,0,0,1,0.9999990000010001,0.0
2024-01-27,HD현대미포,1,0,1,2,0.9999990000010001,0.0
2024-01-27,HD현대중공업,1,1,1,3,0.499999750000125,0.499999750000125
2024-01-27,삼성중공업,6,1,1,8,0.857142734693895,0.1428571224489825
2024-01-27,한화오션,7,1,1,9,0.8749998906250137,0.12499998437500197
2024-01-28,HD한국조선해양,1,3,2,6,0.24999993750001562,0.7499998125000469
2024-01-28,HD현대마린솔루션,3,1,0,4,0.7499998125000469,0.24999993750001562
2024-01-28,HD현대미포,0,2,0,2,0.0,0.99999950000025
2024-01-28,HD현대중공업,9,4,1,14,0.6923076390532585,0.3076922840236705
2024-01-28,삼성중공업,2,1,3,6,0.6666664444445185,0.33333322222225925
2024-01-28,한화엔진,1,1,1,3,0.499999750000125,0.499999750000125
2024-01-28,한화오션,4,2,3,9,0.6666665555555741,0.33333327777778704
2024-01-29,HD한국조선해양,15,9,4,28,0.6249999739583344,0.37499998437500065
2024-01-29,HD현대마린솔루션,15,5,0,20,0.7499999625000018,0.2499999875000006
2024-01-29,HD현대마린엔진,19,1,0,20,0.9499999525000024,0.04999999750000012
2024-01-29,HD현대미포,4,1,5,10,0.799999840000032,0.199999960000008
2024-01-29,HD현대중공업,75,10,6,91,0.8823529307958479,0.11764705743944638
2024-01-29,삼성중공업,12,4,7,23,0.7499999531250029,0.24999998437500096
2024-01-29,세진중공업,0,1,0,1,0.0,0.9999990000010001
2024-01-29,한화엔진,12,2,2,16,0.8571427959183717,0.14285713265306196
2024-01-29,한화오션,26,10,5,41,0.7222222021604945,0.2777777700617286
2024-01-30,HD한국조선해양,11,7,3,21,0.6111110771604957,0.3888888672839518
2024-01-30,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.19999998000000202
2024-01-30,HD현대마린엔진,9,1,0,10,0.8999999100000091,0.09999999000000101
2024-01-30,HD현대미포,14,0,1,15,0.9999999285714337,0.0
2024-01-30,HD현대중공업,22,5,3,30,0.8148147846364894,0.18518517832647488
2024-01-30,삼성중공업,11,5,4,20,0.6874999570312527,0.3124999804687512
2024-01-30,한국카본,1,0,0,1,0.9999990000010001,0.0
2024-01-30,한화엔진,10,3,1,14,0.7692307100591762,0.23076921301775286
2024-01-30,한화오션,21,10,6,37,0.677419332986473,0.3225806347554634
2024-01-31,HD한국조선해양,19,4,1,24,0.8260869206049165,0.17391303591682453
2024-01-31,HD현대마린솔루션,2,0,1,3,0.99999950000025,0.0
2024-01-31,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-31,HD현대미포,8,0,0,8,0.9999998750000157,0.0
2024-01-31,HD현대중공업,25,3,3,31,0.8928571109693889,0.10714285331632667
2024-01-31,STX엔진,1,2,0,3,0.33333322222225925,0.6666664444445185
2024-01-31,삼성중공업,12,4,6,22,0.7499999531250029,0.24999998437500096
2024-01-31,세진중공업,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-31,한국카본,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-31,한화엔진,5,2,1,8,0.7142856122449125,0.285714244897965
2024-01-31,한화오션,50,6,6,62,0.8928571269132657,0.10714285522959188
2024-02-01,HD한국조선해양,18,3,0,21,0.8571428163265326,0.14285713605442207
2024-02-01,HD현대마린솔루션,18,1,1,20,0.9473683711911383,0.05263157617728546
2024-02-01,HD현대미포,10,0,0,10,0.99999990000001,0.0
2024-02-01,HD현대중공업,17,4,1,22,0.8095237709750585,0.19047618140589612
2024-02-01,STX엔진,0,2,0,2,0.0,0.99999950000025
2024-02-01,삼성중공업,5,6,2,13,0.4545454132231443,0.5454544958677732
2024-02-01,한국카본,0,1,0,1,0.0,0.9999990000010001
