날짜,기업명,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-21,HD한국조선해양,0.0241921260493002,0.0,0.0
2024-01-21,HD현대미포,0.0,0.0,0.0
2024-01-21,HD현대중공업,0.059023186452462975,0.0,0.0
2024-01-21,삼성중공업,0.07367451654264795,0.0,0.0
2024-01-21,한화엔진,0.04897328618506079,0.0,0.0
2024-01-21,한화오션,0.022627590392989297,0.0,0.0
2024-01-22,HD한국조선해양,0.09058970040436948,0.008490226432162394,0.0
2024-01-22,HD현대마린솔루션,0.011985788147890154,0.01740496418593291,0.0
2024-01-22,HD현대미포,0.0,0.0,0.0
2024-01-22,HD현대중공업,0.09440336452230462,0.009075047658854776,0.0
2024-01-22,삼성중공업,0.03964553501258812,0.0,0.0
2024-01-22,세진중공업,0.0,0.0,0.0
2024-01-22,한국카본,0.0,0.0,0.0
2024-01-22,한화엔진,0.057180884415082345,0.0,0.0
2024-01-22,한화오션,0.11030061446675668,0.0027439216134408965,0.0
2024-01-23,HD한국조선해양,0.0758593869854427,0.029231908041086854,0.0
2024-01-23,HD현대마린솔루션,0.0,0.0,0.0
2024-01-23,HD현대미포,0.0,0.06701031252000611,0.0
2024-01-23,HD현대중공업,0.04981124190405082,0.023726949805178917,0.0
2024-01-23,STX엔진,0.0,0.0,0.0
2024-01-23,삼성중공업,0.0942501816928903,0.00988961128248127,0.0
2024-01-23,세진중공업,0.0,0.0,0.0
2024-01-23,한국카본,0.0,0.0,0.0
2024-01-23,한화엔진,0.05382790242095309,0.0389803621782864,0.0
2024-01-23,한화오션,0.06524118206181485,0.0,0.0
2024-01-24,HD한국조선해양,0.018514564628925225,0.03670455541069715,0.0
2024-01-24,HD현대마린솔루션,0.0,0.0,0.0
2024-01-24,HD현대미포,0.041054338531544464,0.059750769550557914,0.0
2024-01-24,HD현대중공업,0.014684950975627881,0.04058001089987489,0.0
2024-01-24,STX엔진,0.0,0.0,0.0
2024-01-24,삼성중공업,0.029495675297981968,0.0,0.0
2024-01-24,세진중공업,0.0,0.0,0.0
2024-01-24,한국카본,0.0,0.0,0.0
2024-01-24,한화엔진,0.0686483158877655,0.0,0.0
2024-01-24,한화오션,0.030845741978991963,0.006349313744873127,0.0
2024-01-25,HD한국조선해양,0.058200712017851756,0.020210003325685438,0.0
2024-01-25,HD현대마린솔루션,0.0,0.0,0.0
2024-01-25,HD현대미포,0.0,0.07921802399657363,0.0
2024-01-25,HD현대중공업,0.03691203383732242,0.026406007998857877,0.0
2024-01-25,삼성중공업,0.012523333857577607,0.04080679749303866,0.0
2024-01-25,세진중공업,0.0,0.0,0.0
2024-01-25,한국카본,0.0,0.0,0.0
2024-01-25,한화엔진,0.0,0.028465260617494346,0.0
2024-01-25,한화오션,0.02805312641873476,0.0178709289500618,0.0
2024-01-26,HD한국조선해양,0.0,0.0,0.0
2024-01-26,HD현대마린솔루션,0.0,0.0,0.0
2024-01-26,HD현대미포,0.0,0.0,0.0
2024-01-26,HD현대중공업,0.0,0.0,0.0
2024-01-26,STX엔진,0.0,0.0,0.0
2024-01-26,삼성중공업,0.0,0.0,0.0
2024-01-26,세진중공업,0.0,0.0,0.0
2024-01-26,한국카본,0.0,0.0,0.0
2024-01-26,한화엔진,0.0,0.0,0.0
2024-01-26,한화오션,0.0,0.0403733166345776,0.0
2024-01-27,HD한국조선해양,0.04443032530085112,0.0,0.0
2024-01-27,HD현대마린솔루션,0.0,0.0,0.0
2024-01-27,HD현대미포,0.0,0.0,0.0
2024-01-27,HD현대중공업,0.0,0.0,0.0
2024-01-27,삼성중공업,0.02776895331303195,0.0,0.0
2024-01-27,한화오션,0.0246835140560284,0.0,0.0
2024-01-28,HD한국조선해양,0.0,0.06520958634838754,0.0
2024-01-28,HD현대마린솔루션,0.0,0.0,0.0
2024-01-28,HD현대미포,0.0,0.0,0.0
2024-01-28,HD현대중공업,0.0,0.0,0.0
2024-01-28,삼성중공업,0.0,0.06520958634838754,0.0
