날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-10,HD현대중공업,45,9,2,56,0.8333333179012349,0.1666666635802469,0.1763542227233462,0.0049387458593355,0.0
2024-01-10,STX엔진,2,2,0,4,0.4999998750000312,0.4999998750000312,0.1734895119330323,0.0,0.0
2024-01-10,삼성중공업,12,1,2,15,0.9230768520710114,0.0769230710059176,0.0422355621521351,0.0,0.0
2024-01-10,세진중공업,2,1,1,4,0.6666664444445185,0.3333332222222592,0.1734895119330323,0.097428695031426,0.0
2024-01-10,한국카본,2,1,0,3,0.6666664444445185,0.3333332222222592,0.2313193492440431,0.0,0.0
2024-01-10,한화엔진,5,6,1,12,0.4545454132231443,0.5454544958677732,0.0336577882934267,0.0,0.0
2024-01-10,한화오션,24,6,6,36,0.7999999733333342,0.1999999933333335,0.0175981508967229,0.0,0.0
2024-01-11,HD한국조선해양,19,6,2,27,0.7599999696000012,0.2399999904000003,0.0606738169766177,0.0,0.0
2024-01-11,HD현대마린솔루션,4,0,0,4,0.9999997500000624,0.0,0.1069957323207029,0.0,0.0
2024-01-11,HD현대마린엔진,1,0,0,1,0.999999000001,0.0,0.4279829292828119,0.0,0.0
2024-01-11,HD현대미포,7,3,0,10,0.699999930000007,0.299999970000003,0.2965113751954326,0.0,0.0
2024-01-11,HD현대중공업,24,4,3,31,0.8571428265306134,0.1428571377551022,0.0515389625717342,0.0088971952772589,0.0
2024-01-11,STX엔진,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-11,삼성중공업,8,8,2,18,0.4999999687500019,0.4999999687500019,0.0514335157326754,0.0,0.0
2024-01-11,한화엔진,7,6,1,14,0.5384614970414233,0.4615384260355057,0.0124526921226014,0.0,0.0
2024-01-11,한화오션,21,8,3,32,0.7241379060642101,0.2758620594530324,0.0238412045418096,0.0,0.0
2024-01-12,HD한국조선해양,19,6,0,25,0.7599999696000012,0.2399999904000003,0.0520757480243564,0.0099793444418968,0.0
2024-01-12,HD현대마린솔루션,7,2,2,11,0.7777776913580343,0.2222221975308669,0.0,0.0,0.0
2024-01-12,HD현대미포,4,5,1,10,0.4444443950617339,0.5555554938271674,0.0283853072159594,0.024948361104742,0.0
2024-01-12,HD현대중공업,12,6,1,19,0.6666666296296316,0.3333333148148158,0.0149396353768207,0.0131307163709168,0.0
2024-01-12,STX엔진,1,2,0,3,0.3333332222222592,0.6666664444445185,0.0,0.0,0.0
2024-01-12,삼성중공업,16,4,6,26,0.799999960000002,0.1999999900000005,0.0184330534880595,0.0099103454132683,0.02012212278574
2024-01-12,세진중공업,4,2,0,6,0.6666665555555741,0.333333277777787,0.0,0.0,0.0
2024-01-12,한국카본,4,4,0,8,0.4999999375000079,0.4999999375000079,0.0,0.0,0.0
2024-01-12,한화엔진,8,4,4,16,0.6666666111111158,0.3333333055555579,0.0177968125357653,0.0,0.0236853296590187
2024-01-12,한화오션,61,10,6,77,0.8591549174766914,0.1408450684388018,0.0128979789704884,0.0032400468967197,0.0
2024-01-13,HD한국조선해양,4,1,0,5,0.799999840000032,0.199999960000008,0.0,0.0,0.0
2024-01-13,HD현대중공업,9,1,0,10,0.8999999100000091,0.099999990000001,0.0,0.0,0.0
2024-01-13,삼성중공업,2,0,1,3,0.99999950000025,0.0,0.0,0.0,0.0
2024-01-13,세진중공업,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-13,한화엔진,1,0,1,2,0.999999000001,0.0,0.0,0.0,0.0
2024-01-13,한화오션,12,1,1,14,0.9230768520710114,0.0769230710059176,0.0,0.0,0.0
2024-01-14,HD한국조선해양,5,3,1,9,0.6249999218750099,0.3749999531250059,0.0448023230489335,0.0297584170872917,0.0
2024-01-14,HD현대마린솔루션,1,1,1,3,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-14,HD현대미포,1,0,0,1,0.999999000001,0.0,0.2115628844781354,0.0,0.0
2024-01-14,HD현대중공업,10,1,0,11,0.9090908264462886,0.0909090826446288,0.0,0.0243477957986932,0.0
2024-01-14,STX엔진,3,3,0,6,0.4999999166666805,0.4999999166666805,0.0,0.0,0.0
2024-01-14,삼성중공업,2,2,4,8,0.4999998750000312,0.4999998750000312,0.0505060515561063,0.0334782192232031,0.0
2024-01-14,세진중공업,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-14,한국카본,2,2,0,4,0.4999998750000312,0.4999998750000312,0.0,0.0,0.0
2024-01-14,한화엔진,4,2,1,7,0.6666665555555741,0.333333277777787,0.0,0.038260821969375,0.0
2024-01-14,한화오션,9,4,1,14,0.6923076390532585,0.3076922840236705,0.0131634905952012,0.0191304109846875,0.0
2024-01-15,HD한국조선해양,13,6,1,20,0.684210490304711,0.3157894570637127,0.0492402083138083,0.0145942739935335,0.0
2024-01-15,HD현대마린솔루션,1,3,0,4,0.2499999375000156,0.7499998125000469,0.0,0.0,0.0
2024-01-15,HD현대미포,3,1,0,4,0.7499998125000469,0.2499999375000156,0.0,0.1330897273549393,0.0
2024-01-15,HD현대중공업,20,10,0,30,0.6666666444444451,0.3333333222222225,0.0631867259527326,0.0326763245606721,0.0
2024-01-15,STX엔진,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-15,삼성중공업,11,4,2,17,0.7333332844444478,0.2666666488888901,0.0530431205225307,0.0,0.0
2024-01-15,세진중공업,2,1,1,4,0.6666664444445185,0.3333332222222592,0.0,0.0,0.0
2024-01-15,한국카본,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-15,한화엔진,5,1,0,6,0.8333331944444675,0.1666666388888935,0.0,0.0,0.0
2024-01-15,한화오션,26,7,2,35,0.7878787640036738,0.2121212056932968,0.0287845949672069,0.0109873345325227,0.0
